t,avg,var
27,50.6055,1.46195e-18
28,50.6055,1.23561e-18
28,50.6055,1.03968e-18
28,50.6055,8.73229e-19
28,50.6055,7.35913e-19
28,50.6055,6.19809e-19
28,50.6055,5.22571e-19
28,50.6055,4.36803e-19
28,50.6055,3.68621e-19
28,50.6055,3.1083e-19
28,50.6055,2.60775e-19
29,50.6055,2.19107e-19
29,50.6055,1.84172e-19
29,50.6055,1.5573e-19
29,50.6055,1.32279e-19
29,50.6055,1.11314e-19
29,50.6055,9.38182e-20
29,50.6055,7.87832e-20
29,50.6055,6.63703e-20
29,50.6055,5.54572e-20
29,50.6055,4.70272e-20
30,50.6055,3.94338e-20
30,50.6055,3.33388e-20
30,50.6055,2.81579e-20
30,50.6055,2.38139e-20
30,50.6055,2.01123e-20
30,50.6055,1.69378e-20
30,50.6055,1.42672e-20
30,50.6055,1.20364e-20
30,50.6055,1.01069e-20
30,50.6055,8.52168e-21
31,50.6055,7.13552e-21
31,50.6055,6.02092e-21
31,50.6055,5.0963e-21
31,50.6055,4.27424e-21
31,50.6055,3.62544e-21
31,50.6055,3.06002e-21
31,50.6055,2.57822e-21
31,50.6055,2.15876e-21
31,50.6055,1.8046e-21
31,50.6055,1.51456e-21
32,50.6055,1.27477e-21
32,50.6055,1.07305e-21
32,50.6055,9.05273e-22
32,50.6055,7.58138e-22
32,50.6055,6.38483e-22
32,50.6055,5.37352e-22
32,50.6055,4.51081e-22
32,50.6055,3.79648e-22
32,50.6055,3.19329e-22
32,50.6055,2.68964e-22
33,50.6055,2.26459e-22
33,50.6055,1.91842e-22
33,50.6055,1.61691e-22
33,50.6055,1.36543e-22
33,50.6055,1.14862e-22
33,50.6055,9.65624e-23
33,50.6055,8.1572e-23
33,50.6055,6.86528e-23
33,50.6055,5.78478e-23
33,50.6055,4.85228e-23
34,50.6055,4.09951e-23
34,50.6055,3.43873e-23
34,50.6055,2.90923e-23
34,50.6055,2.42715e-23
34,50.6055,2.04559e-23
34,50.6055,1.72009e-23
34,50.6055,1.44836e-23
34,50.6055,1.21286e-23
34,50.6055,1.02275e-23
34,50.6055,8.62496e-24
35,50.6055,7.28638e-24
35,50.6055,6.15472e-24
35,50.6055,5.20679e-24
35,50.6055,4.37955e-24
35,50.6055,3.68407e-24
35,50.6055,3.09668e-24
35,50.6055,2.59278e-24
35,50.6055,2.20186e-24
35,50.6055,1.84566e-24
35,50.6055,1.54604e-24
36,50.6055,1.30745e-24
36,50.6055,1.10785e-24
36,50.6055,9.35383e-25
36,50.6055,7.86385e-25
36,50.6055,6.58353e-25
36,50.6055,5.52724e-25
36,50.6055,4.67708e-25
36,50.6055,3.96722e-25
36,50.6055,3.32589e-25
36,50.6055,2.79305e-25
37,50.6055,2.33979e-25
37,50.6055,1.97717e-25
37,50.6055,1.66072e-25
37,50.6055,1.40351e-25
37,50.6055,1.18035e-25
37,50.6055,1.00068e-25
37,50.6055,8.37399e-26
37,50.6055,7.10959e-26
37,50.6055,5.97545e-26
37,50.6055,4.99792e-26
38,50.6055,4.22496e-26
38,50.6055,3.55873e-26
38,50.6055,3.0268e-26
38,50.6055,2.53486e-26
