t,mean_latency,var_latency,queue_size
356,0.200108,0.00243268,1000
357,0.199021,0.00250106,1000
358,0.201371,0.00248207,1000
359,0.20056,0.00262174,1000
360,0.199334,0.00240521,1000
361,0.198074,0.00253515,1000
362,0.199939,0.00263453,1000
363,0.199797,0.00252826,1000
364,0.201774,0.00251978,1000
365,0.199078,0.00238457,1000
366,0.199346,0.00247278,1000
367,0.199487,0.00231925,1000
368,0.198722,0.00251356,1000
369,0.199131,0.00238692,1000
370,0.202051,0.00259446,1000
371,0.199621,0.00259123,1000
372,0.199754,0.00238832,1000
373,0.200609,0.0024408,1000
374,0.198918,0.00243126,1000
375,0.199102,0.002592,1000
376,0.199371,0.00251884,1000
377,0.199732,0.00248494,1000
378,0.199542,0.00248478,1000
379,0.19902,0.00251662,1000
380,0.199373,0.00265618,1000
381,0.199844,0.00254079,1000
382,0.20159,0.00250253,1000
383,0.199758,0.0023228,1000
384,0.199322,0.00248395,1000
385,0.199203,0.00251179,1000
386,0.199866,0.00247745,1000
387,0.198712,0.00255093,1000
388,0.201334,0.00246986,1000
389,0.199972,0.00245442,1000
390,0.199794,0.00245314,1000
391,0.198691,0.00259191,1000
392,0.197781,0.00256704,1000
393,0.200875,0.00245817,1000
394,0.201156,0.00253292,1000
395,0.199813,0.00242455,1000
396,0.201481,0.00242782,1000
397,0.199902,0.00248629,1000
398,0.199876,0.00261877,1000
399,0.200196,0.0025266,1000
400,0.199395,0.00246693,1000
401,0.198755,0.00246249,1000
402,0.199848,0.00243897,1000
403,0.199906,0.00247789,1000
404,0.200374,0.00256638,1000
405,0.198859,0.00246797,1000
406,0.19926,0.0023603,1000
407,0.199877,0.00252646,1000
408,0.199371,0.00245684,1000
409,0.200937,0.00253802,1000
410,0.2002,0.00249844,1000
411,0.201609,0.00249662,1000
412,0.20199,0.00243,1000
413,0.20035,0.00240433,1000
414,0.199398,0.00250418,1000
415,0.199706,0.00240931,1000
416,0.199262,0.00242679,1000
417,0.201452,0.00248821,1000
418,0.199102,0.00267454,1000
419,0.20119,0.00242447,1000
420,0.199582,0.00230596,1000
421,0.201635,0.00244865,1000
422,0.198304,0.0026509,1000
423,0.199842,0.00239731,1000
424,0.199647,0.0024548,1000
425,0.200649,0.00258586,1000
426,0.198891,0.00255178,1000
427,0.200177,0.00244719,1000
428,0.20011,0.0025373,1000
429,0.198563,0.0025494,1000
430,0.200779,0.00248848,1000
431,0.198781,0.00253963,1000
432,0.200703,0.00247027,1000
433,0.199884,0.00254921,1000
434,0.198567,0.00234139,1000
435,0.200113,0.00255322,1000
436,0.201374,0.00247617,1000
437,0.20033,0.00256682,1000
438,0.200833,0.00258003,1000
439,0.200874,0.00246662,1000
440,0.201775,0.00248911,1000
441,0.199812,0.00251588,1000
442,0.199894,0.0024956,1000
443,0.201778,0.0024766,1000
444,0.200461,0.00247975,1000
445,0.200554,0.00243158,1000
446,0.198929,0.00243492,1000
447,0.200328,0.0025235,1000
448,0.199388,0.0025343,1000
449,0.20052,0.00243729,1000
450,0.198491,0.00248725,1000
451,0.201367,0.00261665,1000
452,0.200606,0.00244192,1000
453,0.200284,0.00247699,1000
454,0.200779,0.00240561,1000
455,0.201467,0.00259483,1000
456,0.200204,0.00260128,1000
457,0.20002,0.0024504,1000
458,0.201276,0.00244148,1000
459,0.199596,0.00251155,1000
460,0.199673,0.00251776,1000
461,0.198828,0.00252081,1000
462,0.200803,0.00248053,1000
463,0.198992,0.00257988,1000
464,0.199056,0.00250215,1000
465,0.200331,0.00252152,1000
466,0.197703,0.00246743,1000
467,0.19895,0.00254945,1000
468,0.199825,0.00246517,1000
469,0.200651,0.00244143,1000
470,0.200519,0.00247907,1000
471,0.200149,0.00258011,1000
472,0.200157,0.00251262,1000
473,0.199547,0.00242434,1000
474,0.199614,0.00254437,1000
475,0.200208,0.00257908,1000
476,0.200633,0.00247168,1000
477,0.200269,0.00257919,1000
478,0.200531,0.00252582,1000
479,0.200848,0.00248901,1000
480,0.200651,0.00247504,1000
481,0.196826,0.00239551,1000
482,0.199433,0.0024259,1000
483,0.200075,0.0026036,1000
484,0.198622,0.00261415,1000
485,0.200742,0.00246391,1000
486,0.200706,0.00252223,1000
487,0.199959,0.00242151,1000
488,0.198099,0.00261995,1000
489,0.200786,0.00264664,1000
490,0.1996,0.0026349,1000
491,0.201747,0.00249988,1000
492,0.199621,0.00246977,1000
493,0.199974,0.00247632,1000
494,0.200561,0.00236771,1000
495,0.199407,0.00251135,1000
496,0.200093,0.00247161,1000
497,0.20103,0.00253776,1000
498,0.201122,0.0024215,1000
499,0.199272,0.00265221,1000
500,0.199128,0.00249646,1000
501,0.199298,0.0025528,1000
502,0.198432,0.00254201,1000
503,0.200051,0.00241073,1000
504,0.200758,0.00250231,1000
505,0.19956,0.00260261,1000
506,0.19975,0.00251656,1000
507,0.199334,0.00247827,1000
508,0.20183,0.00250958,1000
509,0.19921,0.00245499,1000
510,0.200997,0.00260208,1000
511,0.200315,0.002424,1000
512,0.200106,0.00245448,1000
513,0.19901,0.0024477,1000
514,0.199196,0.00251304,1000
515,0.202166,0.00252792,1000
516,0.200629,0.00265733,1000
517,0.201039,0.00246513,1000
518,0.198366,0.00253196,1000
519,0.199879,0.00249762,1000
520,0.201003,0.00247409,1000
521,0.198513,0.00249437,1000
522,0.2005,0.00240066,1000
523,0.200359,0.00253923,1000
524,0.200054,0.00243512,1000
525,0.199051,0.00249742,1000
526,0.200691,0.00268587,1000
527,0.199361,0.00253047,1000
528,0.199784,0.00250931,1000
529,0.199104,0.00261586,1000
530,0.200264,0.00230246,1000
531,0.200105,0.00255174,1000
532,0.199237,0.00264002,1000
533,0.200486,0.00249812,1000
534,0.198888,0.00239028,1000
535,0.198726,0.00247391,1000
536,0.201417,0.00246551,1000
537,0.20086,0.00239672,1000
538,0.20136,0.00274687,1000
539,0.198908,0.00253577,1000
540,0.201472,0.00249954,1000
541,0.199217,0.00247847,1000
542,0.199091,0.00232528,1000
543,0.201178,0.0024654,1000
544,0.199186,0.0024001,1000
545,0.200545,0.0025311,1000
546,0.199304,0.00246249,1000
547,0.200036,0.00253903,1000
548,0.19934,0.0024892,1000
549,0.199073,0.00244241,1000
550,0.201232,0.00249458,1000
551,0.200293,0.00239688,1000
552,0.201254,0.00258382,1000
553,0.202427,0.00250705,1000
554,0.199386,0.00248482,1000
555,0.201653,0.00253426,1000
556,0.200924,0.00237877,1000
557,0.199582,0.00251113,1000
558,0.198314,0.00247222,1000
